NaCl_Percent,Target_Temp,Rep,Mercury_Temp,Temp_M01,EC_M01,Temp_M02,EC_M02
0.7,60,3,60,-,-,5880,1103
0.7,60,4,61,-,-,5911,1101
0.7,60,5,61,-,-,5911,1103
0.7,70,1,73,-,-,7145,1223
0.7,70,2,73,-,-,7092,1211
0.7,70,3,74,-,-,7289,1196
0.7,70,4,74,-,-,7448,1208
0.7,70,5,74,-,-,7273,1201
0.7,80,1,81,-,-,7856,1280
0.7,80,2,82,-,-,8238,1283
0.7,80,3,82,-,-,8182,1257
0.7,80,4,82,-,-,8062,1280
0.7,80,5,82,-,-,7896,1263
0.8,25,1,22,-,-,2223,774
0.8,25,2,22,-,-,2204,775
0.8,25,3,22,-,-,2202,771
0.8,25,4,22,-,-,2197,772
0.8,25,5,22,-,-,2192,774
0.8,30,1,33,-,-,3171,744
0.8,30,2,34,-,-,3289,886
0.8,30,3,35,-,-,3367,899
0.8,30,4,34,-,-,3281,901
0.8,30,5,34,-,-,3393,911
0.8,40,1,47,-,-,4015,1024
0.8,40,2,45,-,-,4575,1027
0.8,40,3,46,-,-,4220,1012
0.8,40,4,46,-,-,4045,1010
0.8,40,5,46,-,-,4496,1027
0.8,50,1,51,-,-,5089,1071
0.8,50,2,52,-,-,5137,1074
0.8,50,3,52,-,-,5077,1079
0.8,50,4,52,-,-,5162,1075
0.8,50,5,52,-,-,5150,1075
0.8,60,1,62,-,-,6097,1170
0.8,60,2,62,-,-,5969,1170
0.8,60,3,62,-,-,6141,1180
0.8,60,4,62,-,-,6130,1158
0.8,60,5,62,-,-,6108,1171
0.8,70,1,70,-,-,6871,1275
0.8,70,2,70,-,-,6957,1280
0.8,70,3,70,-,-,6943,1278
0.8,70,4,70,-,-,6987,1272
0.8,70,5,70,-,-,6957,1292
0.8,80,1,86,-,-,8501,1635
0.8,80,2,86,-,-,7338,1591
0.8,80,3,86,-,-,8250,1583
0.8,80,4,86,-,-,7076,1562
0.8,80,5,86,-,-,7999,1531
0.9,25,1,23,-,-,2102,803
0.9,25,2,23,-,-,2281,822
0.9,25,3,23,-,-,2259,825
0.9,25,4,23,-,-,2264,825
0.9,25,5,23,-,-,2245,828
0.9,30,1,32,-,-,3164,925
0.9,30,2,32,-,-,3203,937
0.9,30,3,33,-,-,3200,924
0.9,30,4,33,-,-,3250,941
0.9,30,5,33,-,-,3218,929
0.9,40,1,44,-,-,4359,1052
